,sum,max,min,mean,std,median
Unnamed: 0,1402089535.0,52954.0,0.0,26477.0,15286.936089354203,26477.0
CustomerID,812209270.0,18283.0,12346.0,15346.709810294007,1766.5560203379357,15311.0
Tenure_Months,1382798.0,50.0,2.0,26.127994860554757,13.47828519413218,27.0
Transaction_ID,1715257614.0,48497.0,16679.0,32409.825674552187,8648.668976946552,32625.5
Quantity,238033.0,900.0,1.0,4.497638122590885,20.10471082427048,1.0
Avg_Price,2764625.2,355.74,0.39,52.237646436399366,64.00688159847171,16.99
Delivery_Charges,556635.07,521.36,0.0,10.517630375632983,19.475613231827342,6.0
GST,7275.0300000000025,0.18,0.05,0.13746183206106874,0.045824777220371746,0.18
Offline_Spend,149823300.0,5000.0,500.0,2830.9141410324237,936.1542466985832,3000.0
Online_Spend,100190907.02,4556.93,320.25,1893.1091191142013,807.0140919655911,1837.87
Month,352299.0,12.0,1.0,6.6527995467850065,3.3336635885939256,7.0
Discount_pct,1048650.0,30.0,10.0,19.95338217105889,8.127108186446133,20.0
